Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12,0.09838944673538208,0.09881720319863976,0.09838944673538208,0.09838944673538208,469033600,0.0,0.0
1980-12-15,0.09368420784557524,0.09368420784557524,0.09325645118951797,0.09325645118951797,175884800,0.0,0.0
1980-12-16,0.08683936860447428,0.08683936860447428,0.08641161769628525,0.08641161769628525,105728000,0.0,0.0
1980-12-17,0.0885503813624382,0.08897813797102129,0.0885503813624382,0.0885503813624382,86441600,0.0,0.0
1980-12-18,0.09111765027046204,0.09154540105178233,0.09111765027046204,0.09111765027046204,73449600,0.0,0.0
1980-12-19,0.0966784805059433,0.09710623718246594,0.0966784805059433,0.0966784805059433,48630400,0.0,0.0
1980-12-22,0.101383738219738,0.10181226005528636,0.101383738219738,0.101383738219738,37363200,0.0,0.0
1980-12-23,0.10566207766532898,0.1060898343366984,0.10566207766532898,0.10566207766532898,46950400,0.0,0.0
1980-12-24,0.11122284084558487,0.11165059736589118,0.11122284084558487,0.11122284084558487,48003200,0.0,0.0
1980-12-26,0.12148973345756531,0.12191749011632347,0.12148973345756531,0.12148973345756531,55574400,0.0,0.0
1980-12-29,0.12320075184106827,0.12362850851083783,0.12320075184106827,0.12320075184106827,93161600,0.0,0.0
1980-12-30,0.12063423544908701,0.12063423544908701,0.12020649015903473,0.12020649015903473,68880000,0.0,0.0
1980-12-31,0.11721215773833568,0.11721215773833568,0.11678440123796463,0.11678440123796463,35750400,0.0,0.0
1981-01-02,0.11806768923997879,0.11892320245754805,0.11806768923997879,0.11806768923997879,21660800,0.0,0.0
1981-01-05,0.11592889559338218,0.11592889559338218,0.11550115048885345,0.11550115048885345,35728000,0.0,0.0
1981-01-06,0.11079512184661437,0.11079512184661437,0.11036736518144608,0.11036736518144608,45158400,0.0,0.0
1981-01-07,0.1060898343366984,0.1060898343366984,0.10566207766532898,0.10566207766532898,55686400,0.0,0.0
